Basis-of-record,Catalogue-number,Collection-code,Institution-code,Collector,Collector-number,Date-collected,Field-notes,Field-number,Type-status,Taxonomic-name,Identification-qualifier,Identified-by,Date-identified,Count,GenBank-number-s-,Lifestage,Remarks,Sex,Location,Specimen,Image,FileImage
Occurrence,T162,,,None,T162,None,None,None,None,"<a href=/taxonomy/term/10655"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus brachyurus</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/666"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T162%20Pratylenchus%20brachyurus.zip,./Output/049-T162%20Pratylenchus%20brachyurus.zip
Occurrence,T163,,,None,T163,None,None,None,None,"<a href=/taxonomy/term/10655"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus brachyurus</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/667"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T163%20Pratylenchus%20brachyurus.zip,./Output/050-T163%20Pratylenchus%20brachyurus.zip
Occurrence,T164,,,None,T164,None,None,None,None,"<a href=/taxonomy/term/10655"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus brachyurus</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/668"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T164%20Pratylenchus%20brachyurus.zip,./Output/051-T164%20Pratylenchus%20brachyurus.zip
Occurrence,T165,,,None,T165,None,None,None,None,"<a href=/taxonomy/term/10648"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus goodeyi</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/687"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T165%20Pratylenchus%20goodeyi.zip,./Output/052-T165%20Pratylenchus%20goodeyi.zip
Occurrence,T166,,,None,T166,None,None,None,None,"<a href=/taxonomy/term/10648"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus goodeyi</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/688"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T166%20Pratylenchus%20goodeyi%20part1.zip,./Output/053-T166%20Pratylenchus%20goodeyi%20part1.zip
Occurrence,T166,,,None,T166,None,None,None,None,"<a href=/taxonomy/term/10648"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus goodeyi</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/688"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T166%20Pratylenchus%20goodeyi%20part2.zip,./Output/054-T166%20Pratylenchus%20goodeyi%20part2.zip
Occurrence,T167,,,None,T167,None,None,None,None,"<a href=/taxonomy/term/10648"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus goodeyi</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/689"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T167%20Pratylenchus%20goodeyi.zip,./Output/055-T167%20Pratylenchus%20goodeyi.zip
Occurrence,T168,,,None,T168,None,None,None,None,"<a href=/taxonomy/term/10648"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus goodeyi</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/690"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T168%20Pratylenchus%20goodeyi.zip,./Output/056-T168%20Pratylenchus%20goodeyi.zip
Occurrence,T169,,,None,T169,None,None,None,None,"<a href=/taxonomy/term/10648"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus goodeyi</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/691"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T169%20Pratylenchus%20goodeyi.zip,./Output/057-T169%20Pratylenchus%20goodeyi.zip
Occurrence,T171,,,None,T171,None,None,None,None,"<a href=/taxonomy/term/10646"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus penetrans</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/575"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T171%20Pratylenchus%20penetrans.zip,./Output/058-T171%20Pratylenchus%20penetrans.zip
